登録番号,状態,複本,受入日付,タイトル (巻・版),シリーズ,著者,出版者,出版年,ISBN,頁数,大きさ,定価,請求記号,資料区分,受入区分,受入価格,現在の配架,配架場所,一時配架,貸出区分,備考,貸出累計,タグ
90582,在架,,1986/7/31 0:00,話題源国語 下巻　2,2,川本信幹,東京法令出版,1990/1/1,,358,26,4854,375.8-ﾜ-2,図書,購入,4854,図書室,図書室,,一般貸出,,0,
90599,在架,,1989/1/26 0:00,話題源地理,,上山英昭,東京法令出版,1988/1/1,,426,26,5049,375.3-ﾜ,図書,購入,5049,図書室,図書室,,一般貸出,,0,
90605,在架,,1989/1/26 0:00,話題源歴史,,上山英昭,東京法令出版,1988/1/1,,356,26,4563,375.3-ﾜ,図書,購入,4563,図書室,図書室,,一般貸出,,0,
90612,在架,,1989/1/26 0:00,話題源公民・政経,,上山英昭,東京法令出版,1988/1/1,,315,26,4078,375.3-ﾜ,図書,購入,4078,図書室,図書室,,一般貸出,,0,
90629,在架,,1987/12/7 0:00,話題源生物,,山極隆,東京法令出版,1987/1/1,4-8090-6108-6,390,26,4800,375.4-ﾜ,図書,購入,4800,図書室,図書室,,一般貸出,,0,
90636,在架,,1987/12/7 0:00,話題源地学,,伊藤久雄,東京法令出版,1987/1/1,,317,26,4800,375.4-ﾜ,図書,購入,4800,図書室,図書室,,一般貸出,,0,
90643,在架,,1987/12/7 0:00,話題源物理,,伊平保夫,東京法令出版,1987/1/1,,364,26,4800,375.4-ﾜ,図書,購入,4800,図書室,図書室,,一般貸出,,0,
90650,在架,,1987/12/7 0:00,話題源化学,,長谷川俊明,東京法令出版,1987/1/1,,354,26,4800,375.4-ﾜ,図書,購入,4800,図書室,図書室,,一般貸出,,0,
90667,除籍,,1985/11/21 0:00,日本の国防を考える,,海原治,時事通信社,1985/11/1,4-7887-8529-3,257,20,1400,392.1-ｶﾆ,図書,購入,1400,図書室,図書室,,一般貸出,,0,
90674,在架,,1998/3/24 0:00,葬られた原爆展,,フィリップ・ノビーレ,五月書房,1995/9/1,4-7727-0236-9,293,20,2000,210.7-ﾉﾎ,図書,寄贈,2000,図書室,図書室,,一般貸出,,0,
90681,除籍,,1988/7/13 0:00,核戦争シミュレーション,ちくまライブラリー,前田哲男,筑摩書房,1987/11/1,4-480-05106-6,286,19,1200,319.8-ﾏｶ,図書,購入,1200,図書室,図書室,,一般貸出,,0,
90698,在架,,1993/3/10 0:00,戦争がやってくる,ちくまプリマーブックス,藤井治夫,筑摩書房,1991/12/1,4-480-04160-5,216,19,1068,391-ﾌｾ,図書,購入,1068,図書室,図書室,,一般貸出,,0,
90704,在架,,1981/3/31 0:00,死の影に生きて,シリーズ・戦争の証言,小熊宗克,太平出版社,1971/6/1,,282,20,1300,916-ｵｼ,図書,購入,1300,図書室,図書室,,一般貸出,,0,
90711,在架,,1981/3/31 0:00,戦災孤児の記録,シリーズ・戦争の証言,田宮虎彦,太平出版社,1972/2/1,,196,20,1100,368.2-ｾ,図書,購入,1100,図書室,図書室,,一般貸出,文明社　１９４７年刊の改訂,0,
90728,在架,,1981/3/31 0:00,ヒロシマ‐絶後の記録,シリーズ・戦争の証言,小倉豊文,太平出版社,1979/1/1,,224,20,1300,916-ｵﾋ,図書,購入,1300,図書室,図書室,,一般貸出,,0,
90162,在架,親,2000/1/11 0:00,「心の教育」実践大系 １　1,1,尾田幸雄 真仁田昭 内藤俊史,日本図書センター,1999/9/1,4-8205-1983-2,272,27,6500,370.8-ｺ-1,図書,購入,6500,図書室,図書室,,一般貸出,,0,
90179,在架,子,2000/1/11 0:00,「心の教育」実践大系 ２　2,2,尾田幸雄 押谷由夫 高島元洋,日本図書センター,1999/9/1,4-8205-1983-2,241,27,6500,370.8-ｺ-2,図書,購入,6500,図書室,図書室,,一般貸出,,0,
90186,在架,子,2000/1/11 0:00,「心の教育」実践大系 ３　3,3,尾田幸雄 七条正典 五条しおり,日本図書センター,1999/9/1,4-8205-1983-2,294,27,6500,370.8-ｺ-3,図書,購入,6500,図書室,図書室,,一般貸出,,0,
90193,在架,子,2000/1/11 0:00,「心の教育」実践大系 ４　4,4,尾田幸雄 横山利弘 藤永芳純,日本図書センター,1999/9/1,4-8205-1983-2,263,27,6500,370.8-ｺ-4,図書,購入,6500,図書室,図書室,,一般貸出,,0,
90209,在架,子,2000/1/11 0:00,「心の教育」実践大系 ５　5,5,尾田幸雄 尾田幸雄 尾田綾子,日本図書センター,1999/9/1,4-8205-1983-2,276,27,6500,370.8-ｺ-5,図書,購入,6500,図書室,図書室,,一般貸出,,0,
90216,在架,子,2000/1/11 0:00,「心の教育」実践大系 ６　6,6,尾田幸雄 持田行雄 金丸和子,日本図書センター,1999/9/1,4-8205-1983-2,257,27,6500,370.8-ｺ-6,図書,購入,6500,図書室,図書室,,一般貸出,,0,
90223,在架,子,2000/1/11 0:00,「心の教育」実践大系 ７　7,7,尾田幸雄 羽入佐和子 立石喜男,日本図書センター,1999/9/1,4-8205-1983-2,288,27,6500,370.8-ｺ-7,図書,購入,6500,図書室,図書室,,一般貸出,,0,
90391,除籍,,1994/3/22 0:00,実践・問題行動教育大系 ９　9,9,茨木俊夫,開隆堂出版,1991/1/1,,245,27,6000,371.4-ｼﾞ-9,図書,購入,6000,図書室,図書室,,一般貸出,監修：間宮武ほか,0,
90407,除籍,,1994/3/22 0:00,実践・問題行動教育大系 １０　10,10,黒川義和,開隆堂出版,1991/1/1,,228,27,6000,371.4-ｼﾞ-10,図書,購入,6000,図書室,図書室,,一般貸出,監修：間宮武ほか,0,
90414,除籍,,1994/3/22 0:00,実践・問題行動教育大系 １１　11,11,藤本和男 関野博司,開隆堂出版,1991/1/1,,231,27,6000,371.4-ｼﾞ-11,図書,購入,6000,図書室,図書室,,一般貸出,監修：間宮武ほか,0,
90421,除籍,,1994/3/22 0:00,実践・問題行動教育大系 １２　12,12,大原健士郎,開隆堂出版,1991/1/1,,233,27,6000,371.4-ｼﾞ-12,図書,購入,6000,図書室,図書室,,一般貸出,監修：間宮武ほか,0,
90438,除籍,,1994/3/22 0:00,実践・問題行動教育大系 １３　13,13,安香宏 坪内宏介,開隆堂出版,1991/1/1,,236,27,6000,371.4-ｼﾞ-13,図書,購入,6000,図書室,図書室,,一般貸出,監修：間宮武ほか,0,
90445,除籍,,1994/3/22 0:00,実践・問題行動教育大系 １４　14,14,斎藤学,開隆堂出版,1991/1/1,,251,27,6000,371.4-ｼﾞ-14,図書,購入,6000,図書室,図書室,,一般貸出,監修：間宮武ほか,0,
90452,除籍,,1994/3/22 0:00,実践・問題行動教育大系 １５　15,15,内山絢子,開隆堂出版,1991/1/1,,316,27,6000,371.4-ｼﾞ-15,図書,購入,6000,図書室,図書室,,一般貸出,監修：間宮武ほか,0,
90469,除籍,,1994/3/22 0:00,実践・問題行動教育大系 １６　16,16,北尾倫彦,開隆堂出版,1991/1/1,,231,27,6000,371.4-ｼﾞ-16,図書,購入,6000,図書室,図書室,,一般貸出,監修：間宮武ほか,0,
90735,在架,,1981/3/31 0:00,学童集団疎開,シリーズ・戦争の証言,浜館菊雄,太平出版社,1979/1/1,,260,19,1300,916-ﾊｶﾞ,図書,購入,1300,図書室,図書室,,一般貸出,,0,
90742,在架,,1981/3/31 0:00,無名兵士の詩集,シリーズ・戦争の証言,高崎隆治,太平出版社,1979/1/1,,245,20,1300,911.5-ﾑ,図書,購入,1300,図書室,図書室,,一般貸出,,0,
90759,在架,,1981/3/31 0:00,東京空襲下の１５０日,シリーズ・戦争の証言,茂原照作,太平出版社,1978/1/1,,256,20,1300,916-ｼﾄ,図書,購入,1300,図書室,図書室,,一般貸出,,0,
90766,在架,,1981/3/31 0:00,戦火に生きた父母たち,シリーズ・戦争の証言,小林桂三郎,太平出版社,1979/1/1,,248,20,1100,916-ｾ,図書,購入,1100,図書室,図書室,,一般貸出,,0,
90773,在架,,1981/3/31 0:00,ひとすじに星は流れて,シリーズ・戦争の証言,安居儔子,太平出版社,1979/1/1,,224,20,1300,916-ﾔﾋ,図書,購入,1300,図書室,図書室,,一般貸出,,0,
90780,在架,,1981/3/31 0:00,わかれ,シリーズ・戦争の証言,草の実会第１・第７グループ,太平出版社,1979/1/1,,252,19,1300,916-ﾜ,図書,購入,1300,図書室,図書室,,一般貸出,,0,
90797,在架,,1981/3/31 0:00,満州＝修羅の群れ,シリーズ・戦争の証言,後藤蔵人,太平出版社,1977/1/1,,258,20,1300,916-ｺﾞﾏ,図書,購入,1300,図書室,図書室,,一般貸出,,0,
90803,在架,,1981/3/31 0:00,中国人強制連行の記録,シリーズ・戦争の証言,石飛仁,太平出版社,1979/1/1,,240,20,1300,366.8-ｲﾁ,図書,購入,1300,図書室,図書室,,一般貸出,,0,
90810,在架,,1981/3/31 0:00,南京・広島・アウシュヴィッツ,シリーズ・戦争の証言,黒田秀俊,太平出版社,1979/1/1,,229,20,1300,209.7-ｸﾅ,図書,購入,1300,図書室,図書室,,一般貸出,,0,
90827,在架,,1981/3/31 0:00,神と愛と戦争,シリーズ・戦争の証言,森下二郎,太平出版社,1974/1/1,,259,20,1300,210.7-ﾓｶ,図書,購入,1300,図書室,図書室,,一般貸出,,0,
90834,在架,,1981/3/31 0:00,ぼくら墨ぬり少国民,戦争の証言,和田多七郎,太平出版社,1978/1/1,,220,20,1300,210.7-ﾜﾎﾞ,図書,購入,1300,図書室,図書室,,一般貸出,,0,
90841,在架,,1981/3/31 0:00,戦争の横顔,シリーズ・戦争の証言,寺崎浩,太平出版社,1978/1/1,,236,20,1300,210.7-ﾃｾ,図書,購入,1300,図書室,図書室,,一般貸出,,0,
90858,在架,,1981/3/31 0:00,海軍特別警察隊,シリーズ・戦争の証言,禾晴道,太平出版社,1978/1/1,,225,20,1300,210.7-ﾉｶ,図書,購入,1300,図書室,図書室,,一般貸出,,0,
90865,在架,,1981/3/31 0:00,１６歳の兵器工場,シリーズ・戦争の証言,山室静,太平出版社,1977/1/1,,278,20,1300,210.7-ｼﾞ,図書,購入,1300,図書室,図書室,,一般貸出,,0,
90872,在架,,1981/3/31 0:00,ヒロシマの夜の病棟から,シリーズ戦争の証言,田村慶子,太平出版社,1979/1/1,,264,20,1300,916-ﾀﾋ,図書,購入,1300,図書室,図書室,,一般貸出,,0,
90889,在架,,1981/3/31 0:00,一九四五年‐慟哭の満州,シリーズ・戦争の証言,橋本カツ子,太平出版社,1978/1/1,,274,20,1300,368.2-ｾ,図書,購入,1300,図書室,図書室,,一般貸出,,0,
90896,在架,,1991/7/10 0:00,自衛隊は何をしてきたのか？,ちくまライブラリー,前田哲男,筑摩書房,1990/7/1,4-480-05142-2,316,19,1301,392.1-ﾏｼﾞ,図書,購入,1301,図書室,図書室,,一般貸出,,0,
90902,在架,,1990/12/20 0:00,東京を爆撃せよ,三省堂選書,奥住喜重,三省堂,1990/6/1,4-385-43157-4,254,19,1456,210.7-ｵﾄ,図書,購入,1456,図書室,図書室,,一般貸出,,0,
90919,在架,,1989/12/14 0:00,アメリカの核軍拡と産軍複合体,,産軍複合体研究会,新日本出版社,1988/3/1,4-406-01599-X,348,21,3800,392.5-ｻｱ,図書,購入,3800,図書室,図書室,,一般貸出,,0,
90926,在架,,1981/3/31 0:00,日本の伝説 ３　3,3,浅川欽一 大川悦生,角川書店,1976/1/1,,254,19,980,388.1-ﾆ-3,図書,購入,980,図書室,図書室,,一般貸出,付：地図（１枚）,0,
90933,在架,,1981/3/31 0:00,日本の伝説 ４　4,4,須藤克三,角川書店,1976/1/1,,254,19,980,388.1-ﾆ-4,図書,購入,980,図書室,図書室,,一般貸出,付：地図（１枚）,0,
90940,在架,,1981/3/31 0:00,日本の伝説 ５　5,5,武田明 北条令子,角川書店,1976/1/1,,249,19,980,388.1-ﾆ-5,図書,購入,980,図書室,図書室,,一般貸出,付：地図（１枚）,0,
90957,在架,,1981/3/31 0:00,日本の伝説 ６　6,6,高橋在久 荒川法勝,角川書店,1976/1/1,,252,19,980,388.1-ﾆ-6,図書,購入,980,図書室,図書室,,一般貸出,付：地図（１枚）,0,
90964,在架,,1981/3/31 0:00,日本の伝説 ７　7,7,武田静澄 福田祥男,角川書店,1976/1/1,,249,19,980,388.1-ﾆ-7,図書,購入,980,図書室,図書室,,一般貸出,付：地図（１枚）,0,
90971,在架,,1981/3/31 0:00,日本の伝説 ８　8,8,庄野英二 中村浩,角川書店,1976/1/1,,254,19,980,388.1-ﾆ-8,図書,購入,980,図書室,図書室,,一般貸出,,0,
90988,在架,,1981/3/31 0:00,日本の伝説 ９　9,9,浜口一夫 吉沢和夫,角川書店,1976/1/1,,261,19,980,388.1-ﾆ-9,図書,購入,980,図書室,図書室,,一般貸出,付：地図（１枚）,0,
91084,在架,,1981/3/31 0:00,日本の伝説 １９　19,19,駒敏郎 中川正文,角川書店,1977/1/1,,246,19,980,388.1-ﾆ-19,図書,購入,980,図書室,図書室,,一般貸出,付：地図（１枚）,0,
91091,在架,,1981/3/31 0:00,日本の伝説 ２０　20,20,永井路子,角川書店,1977/1/1,,252,19,980,388.1-ﾆ-20,図書,購入,980,図書室,図書室,,一般貸出,付：地図（１枚）,0,
91107,在架,,1981/3/31 0:00,日本の伝説 ２１　21,21,若杉慧 村岡浅夫,角川書店,1977/1/1,,235,19,980,388.1-ﾆ-21,図書,購入,980,図書室,図書室,,一般貸出,付：地図（１枚）,0,
91114,在架,,1981/3/31 0:00,日本の伝説 ２２　22,22,松谷みよ子,角川書店,1977/1/1,,244,19,980,388.1-ﾆ-22,図書,購入,980,図書室,図書室,,一般貸出,付：地図（１枚）,0,
91121,在架,,1981/3/31 0:00,日本の伝説 ２３　23,23,島尾敏雄,角川書店,1977/1/1,,286,19,980,388.1-ﾆ-23,図書,購入,980,図書室,図書室,,一般貸出,,0,
91138,在架,,1981/3/31 0:00,日本の伝説 ２４　24,24,辺見じゅん,角川書店,1977/1/1,,241,19,980,388.1-ﾆ-24,図書,購入,980,図書室,図書室,,一般貸出,付：地図（１枚）,0,
91145,在架,,1981/3/31 0:00,日本の伝説 ２５　25,25,森山泰太郎 北彰介,角川書店,1977/1/1,,243,19,980,388.1-ﾆ-25,図書,購入,980,図書室,図書室,,一般貸出,付：地図（１枚）,0,
91152,在架,,1981/3/31 0:00,日本の伝説 ２６　26,26,荒木精之,角川書店,1978/1/1,,254,19,980,388.1-ﾆ-26,図書,購入,980,図書室,図書室,,一般貸出,付：地図（１枚）,0,
91169,在架,,1981/3/31 0:00,日本の伝説 ２７　27,27,都丸十九一,角川書店,1978/1/1,,253,19,980,388.1-ﾆ-27,図書,購入,980,図書室,図書室,,一般貸出,付：地図（１枚）,0,
91176,在架,,1981/3/31 0:00,日本の伝説 ２８　28,28,福田清人 深江福吉,角川書店,1978/1/1,,253,19,980,388.1-ﾆ-28,図書,購入,980,図書室,図書室,,一般貸出,付：地図（１枚）,0,
91183,在架,,1981/3/31 0:00,日本の伝説 ２９　29,29,太田忠久 水藤春夫,角川書店,1978/1/1,,234,19,980,388.1-ﾆ-29,図書,購入,980,図書室,図書室,,一般貸出,付：地図（１枚）,0,
91190,在架,,1981/3/31 0:00,日本の伝説 ３０　30,30,武田静澄 吉田知子,角川書店,1978/1/1,,253,19,980,388.1-ﾆ-30,図書,購入,980,図書室,図書室,,一般貸出,付：地図（１枚）,0,
91206,在架,,1981/3/31 0:00,日本の伝説 ３１　31,31,比江島重孝 竹崎有斐,角川書店,1979/2/1,,236,19,1100,388.1-ﾆ-31,図書,購入,1100,図書室,図書室,,一般貸出,,0,
91213,在架,,1981/3/31 0:00,日本の伝説 ３２　32,32,駒敏郎 花岡大学,角川書店,1979/3/1,,254,19,1100,388.1-ﾆ-32,図書,購入,1100,図書室,図書室,,一般貸出,,0,
91220,在架,,1981/3/31 0:00,日本の伝説 ３３　33,33,劉寒吉 角田嘉久,角川書店,1979/4/1,,261,19,1100,388.1-ﾆ-33,図書,購入,1100,図書室,図書室,,一般貸出,,0,
91237,在架,,1981/3/31 0:00,日本の伝説 ３４　34,34,長倉三朗 早船ちよ,角川書店,1979/5/1,,269,19,1100,388.1-ﾆ-34,図書,購入,1100,図書室,図書室,,一般貸出,,0,
91244,在架,,1981/3/31 0:00,日本の伝説 ３５　35,35,松岡利夫 古川薫,角川書店,1979/6/1,,263,19,1100,388.1-ﾆ-35,図書,購入,1100,図書室,図書室,,一般貸出,,0,
91251,在架,,1981/3/31 0:00,日本の伝説 ３６　36,36,和田良誉 村上護,角川書店,1979/7/1,,252,19,1100,388.1-ﾆ-36,図書,購入,1100,図書室,図書室,,一般貸出,,0,
91268,在架,,1981/3/31 0:00,日本の伝説 ３８　38,38,辺見じゅん,角川書店,1979/9/1,,258,19,1100,388.1-ﾆ-38,図書,購入,1100,図書室,図書室,,一般貸出,,0,
91275,在架,,1981/3/31 0:00,日本の伝説 ３９　39,39,中村浩,角川書店,1979/10/1,,240,19,1100,388.1-ﾆ-39,図書,購入,1100,図書室,図書室,,一般貸出,,0,
91282,在架,,1981/3/31 0:00,日本の伝説 ４０　40,40,佐々木徳夫,角川書店,1979/11/1,,261,19,1100,388.1-ﾆ-40,図書,購入,1100,図書室,図書室,,一般貸出,,0,
91299,在架,,1981/3/31 0:00,日本の伝説 ４１　41,41,小山直嗣 村山富士子,角川書店,1979/12/1,,244,19,1100,388.1-ﾆ-41,図書,購入,1100,図書室,図書室,,一般貸出,,0,
91305,在架,,1981/3/31 0:00,日本の伝説 ４２　42,42,金野静一 須知徳平,角川書店,1980/1/1,,278,19,1100,388.1-ﾆ-42,図書,購入,1100,図書室,図書室,,一般貸出,,0,
91312,在架,,1981/3/31 0:00,日本の伝説 ４３　43,43,宮崎修二朗 足立巻一,角川書店,1980/2/1,,238,19,1100,388.1-ﾆ-43,図書,購入,1100,図書室,図書室,,一般貸出,,0,
91329,在架,,1981/3/31 0:00,日本の伝説 ４４　44,44,武田静澄 安西篤子,角川書店,1980/3/1,,236,19,1100,388.1-ﾆ-44,図書,購入,1100,図書室,図書室,,一般貸出,,0,
91336,在架,,1981/3/31 0:00,日本の伝説 ４５　45,45,石川純一郎 竹内智恵子,角川書店,1980/4/1,,252,19,1100,388.1-ﾆ-45,図書,購入,1100,図書室,図書室,,一般貸出,,0,
91343,在架,,1981/3/31 0:00,日本の伝説 ４６　46,46,駒敏郎 花岡大学,角川書店,1980/5/1,,254,19,1100,388.1-ﾆ-46,図書,購入,1100,図書室,図書室,,一般貸出,,0,
90995,在架,,1981/3/31 0:00,日本の伝説 １０　10,10,土橋里木 土橋治重,角川書店,1976/1/1,,254,19,980,388.1-ﾆ-10,図書,購入,980,図書室,図書室,,一般貸出,付：地図（１枚）,0,
91008,在架,,1981/3/31 0:00,日本の伝説 １１　11,11,椋鳩十 有馬英子,角川書店,1976/1/1,,236,19,980,388.1-ﾆ-11,図書,購入,980,図書室,図書室,,一般貸出,付：地図（１枚）,0,
91015,在架,,1981/3/31 0:00,日本の伝説 １２　12,12,小倉学,角川書店,1976/1/1,,262,19,980,388.1-ﾆ-12,図書,購入,980,図書室,図書室,,一般貸出,付：地図（１枚）,0,
91022,在架,,1981/3/31 0:00,日本の伝説 １３　13,13,岩井宏実 花岡大学,角川書店,1976/1/1,,260,19,980,388.1-ﾆ-13,図書,購入,980,図書室,図書室,,一般貸出,付：地図（１枚）,0,
91039,在架,,1981/3/31 0:00,日本の伝説 １４　14,14,野添憲治 野口達二,角川書店,1977/1/1,,262,19,980,388.1-ﾆ-14,図書,購入,980,図書室,図書室,,一般貸出,付：地図（１枚）,0,
91046,在架,,1981/3/31 0:00,日本の伝説 １５　15,15,武田静澄 安西篤子,角川書店,1977/1/1,,260,19,980,388.1-ﾆ-15,図書,購入,980,図書室,図書室,,一般貸出,,0,
91053,在架,,1981/3/31 0:00,日本の伝説 １６　16,16,武田明 守川慎一郎,角川書店,1977/1/1,,244,19,980,388.1-ﾆ-16,図書,購入,980,図書室,図書室,,一般貸出,付：地図（１枚）,0,
91060,在架,,1981/3/31 0:00,日本の伝説 １７　17,17,更科源蔵 安藤美紀夫,角川書店,1977/1/1,,253,19,980,388.1-ﾆ-17,図書,購入,980,図書室,図書室,,一般貸出,付：地図（１枚）,0,
91077,在架,,1981/3/31 0:00,日本の伝説 １８　18,18,早船ちよ 諸田森二,角川書店,1977/1/1,,269,19,980,388.1-ﾆ-18,図書,購入,980,図書室,図書室,,一般貸出,付：地図（１枚）,0,
91350,在架,,1981/3/31 0:00,日本の伝説 ４７　47,47,鷲見貞雄 片柳庸史,角川書店,1980/6/1,,246,19,1100,388.1-ﾆ-47,図書,購入,1100,図書室,図書室,,一般貸出,,0,
91367,在架,,1981/3/31 0:00,日本の伝説 ４８　48,48,酒井董美 萩坂昇,角川書店,1980/7/1,,258,19,1100,388.1-ﾆ-48,図書,購入,1100,図書室,図書室,,一般貸出,,0,
91374,在架,,1981/3/31 0:00,日本の伝説 ４９　49,49,梅木秀徳 辺見じゅん,角川書店,1980/8/1,,248,19,1100,388.1-ﾆ-49,図書,購入,1100,図書室,図書室,,一般貸出,,0,
